ID20141020,雑種・品種2,GreenList和名,GreenList和名別名,GreenList学名,科番号,新エングラー科和名,新エングラー科学名,自生,固有,APG科名,APG科和名
1.0,,ソテツ,,Cycas revoluta Thunb.,1.0,ソテツ科,CYCADACEAE,自生,固有,CYCADACEAE,ソテツ科
2.0,,モミ,,Abies firma Siebold et Zucc.,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
3.0,,ウラジロモミ,,Abies homolepis Siebold et Zucc.,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
4.0,,オオシラビソ,アオモリトドマツ,Abies mariesii Mast.,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
5.0,,アオトドマツ,,Abies sachalinensis (F.Schmidt) Mast. var. mayriana Miyabe et Kudô ,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
6.0,,トドマツ,アカトドマツ,Abies sachalinensis (F.Schmidt) Mast. var. sachalinensis,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
7.0,h,ミツミネモミ,,Abies x umbellata Mayr,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
8.0,,シコクシラベ,,Abies veitchii Lindl. var. reflexa Koidz.,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
9.0,,シラビソ,シラベ,Abies veitchii Lindl.,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
10.0,f,アオシラベ,,Abies veitchii Lindl. f. olivacea (Shiras.) Kusaka,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
11.0,,コマガタケシラベ,,Abies veitchii Lindl. var. komagatakensis Hayashi,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
12.0,,グイマツ,シコタンマツ ,Larix gmelinii (Rupr.) Rupr. ex Kuzen. var. japonica (Maxim. ex Regel) Pilg.,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
13.0,,カラマツ,,Larix kaempferi (Lamb.) Carrière,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
14.0,f,シダレカラマツ,,Larix kaempferi (Lamb.) Carrière f. pendula (Sugim.) Yonek.,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
15.0,f,アカミカラマツ,,Larix kaempferi (Lamb.) Carrière f. rubescens (Inokuma) T.Shimizu,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
16.0,,イラモミ,マツハダ,Picea alcoquiana (Veitch ex Lindl.) Carrière,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
17.0,f,ミドリイラモミ,,Picea alcoquiana (Veitch ex Lindl.) Carrière f. chlorocarpa (Hayashi) Yonek.,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
18.0,,アカエゾマツ,,Picea glehnii (F.Schmidt) Mast.,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
19.0,f,アオミノアカエゾマツ,,Picea glehnii (F.Schmidt) Mast. f. chlorocarpa Miyabe et Kudô ,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
20.0,,トウヒ,,Picea jezoensis (Siebold et Zucc.) Carrière var. hondoensis (Mayr) Rehder,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
21.0,f,オゼトウヒ,,Picea jezoensis (Siebold et Zucc.) Carrière var. hondoensis (Mayr) Rehder f. ozeensis Hayashi,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
22.0,,エゾマツ,,Picea jezoensis (Siebold et Zucc.) Carrière,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
23.0,f,シロエゾマツ,,Picea jezoensis (Siebold et Zucc.) Carrière f. takadae (Tatew.) Hayashi,7.0,マツ科,PINACEAE,自生,,PINACEAE,マツ科
24.0,,ヤツガタケトウヒ,ヒメマツハダ,Picea koyamae Shiras.,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
25.0,,ヒメバラモミ,,Picea maximowiczii Regel ex Carrière,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
26.0,,"ハリモミ, バラモミ",,Picea torano (Siebold ex K.Koch) Koehne,7.0,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
