ID20160331,雑種・品種,新リスト和名,和名異名,GreenList学名,PPG科番号,PPG科和名,PPG科名,固有,RL2012
1,,ヒメスギラン,,Huperzia miyoshiana (Makino) Ching,1,ヒカゲノカズラ科,Lycopodiaceae,,
2,,コスギラン,"エゾノコスギラン, チシマスギラン",Huperzia selago (L.) Bernh. ex Schrank et C.F.P.Mart.,1,ヒカゲノカズラ科,Lycopodiaceae,,
3,,トウゲシバ,"ホソバトウゲシバ, ヒロハトウゲシバ, オニトウゲシバ",Huperzia serrata (Thunb.) Trevis.,1,ヒカゲノカズラ科,Lycopodiaceae,,
4,,コスギトウゲシバ,,Huperzia somae (Hayata) Ching,1,ヒカゲノカズラ科,Lycopodiaceae,,CR
5,,イヌヤチスギラン,,Lycopodiella caroliniana (L.) Pic.Serm.,1,ヒカゲノカズラ科,Lycopodiaceae,,CR
6,,ミズスギ,,Lycopodiella cernua (L.) Pic.Serm.,1,ヒカゲノカズラ科,Lycopodiaceae,,
7,,ヤチスギラン,,Lycopodiella inundata (L.) Holub,1,ヒカゲノカズラ科,Lycopodiaceae,,
8,,チシマヒカゲノカズラ,ミヤマヒカゲノカズラ,Lycopodium alpinum L.,1,ヒカゲノカズラ科,Lycopodiaceae,,EN
9,,スギカズラ,"シンノスギカズラ, タカネスギカズラ, ヒロハスギカズラ",Lycopodium annotinum L.,1,ヒカゲノカズラ科,Lycopodiaceae,,
10,,ヒモヅル,,Lycopodium casuarinoides Spring,1,ヒカゲノカズラ科,Lycopodiaceae,,VU
11,,エゾヒカゲノカズラ,,Lycopodium clavatum L.  var. asiaticum Ching,1,ヒカゲノカズラ科,Lycopodiaceae,,
12,,ヒカゲノカズラ,ナンゴクヒカゲノカズラ,Lycopodium clavatum L.  var. nipponicum Nakai,1,ヒカゲノカズラ科,Lycopodiaceae,,
13,,アスヒカズラ,,Lycopodium complanatum L.,1,ヒカゲノカズラ科,Lycopodiaceae,,
14,,タカネヒカゲノカズラ,,Lycopodium nikoense (Franch. et Sav.) Franch. et Sav. ex Nakaike,1,ヒカゲノカズラ科,Lycopodiaceae,,
15,,マンネンスギ,"ウチワマンネンスギ, タチマンネンスギ",Lycopodium obscurum L.,1,ヒカゲノカズラ科,Lycopodiaceae,,
16,,ボウカズラ,,Phlegmariurus carinatus (Desv. ex Poir.) Ching,1,ヒカゲノカズラ科,Lycopodiaceae,,CR
17,,スギラン,,Phlegmariurus cryptomerinus (Maxim.) Satou,1,ヒカゲノカズラ科,Lycopodiaceae,,VU
18,,コウヨウザンカズラ,,Phlegmariurus cunninghamioides (Hayata) Ching,1,ヒカゲノカズラ科,Lycopodiaceae,,EX
19,,ヒモスギラン,ホソヒモヨウラクヒバ,Phlegmariurus fargesii (Herter) Ching,1,ヒカゲノカズラ科,Lycopodiaceae,,CR
20,,ナンカクラン,,Phlegmariurus hamiltonii (Spreng.) A. et D.L?ve,1,ヒカゲノカズラ科,Lycopodiaceae,,
21,,ヨウラクヒバ,,Phlegmariurus phlegmaria (L.) T.Sen et U.Sen,1,ヒカゲノカズラ科,Lycopodiaceae,,EN
22,,ヒメヨウラクヒバ,,Phlegmariurus salvinioides (Herter) Ching,1,ヒカゲノカズラ科,Lycopodiaceae,,CR
23,,ヒモラン,イワヒモ,Phlegmariurus sieboldii (Miq.) Ching,1,ヒカゲノカズラ科,Lycopodiaceae,,EN
41,,ヒメミズニラ,,Isoetes asiatica (Makino) Makino,2,ミズニラ科,Isoetaceae,,NT
42,,ミズニラ,,Isoetes japonica A.Braun,2,ミズニラ科,Isoetaceae,,NT
43,,ミズニラモドキ,,"Isoetes pseudojaponica M.Takamiya, Mitsu.Watan. et K.Ono",2,ミズニラ科,Isoetaceae,固有,VU
44,,オオバシナミズニラ,,"Isoetes sinensis T.C.Palmer  var. coreana (Y.H.Chung et H.K.Choi) M.Takamiya, Mitsu.Watan. et K.Ono",2,ミズニラ科,Isoetaceae,,EN
45,,シナミズニラ,,Isoetes sinensis T.C.Palmer  var. sinensis,2,ミズニラ科,Isoetaceae,,VU
46,h,ミチノクミズニラ,,"Isoetes x michinokuana M.Takamiya, Mitsu.Watan. et K.Ono",2,ミズニラ科,Isoetaceae,固有,
24,,コケカタヒバ,,Selaginella aristata Spring,3,イワヒバ科,Selaginellaceae,,VU
25,,ヒバゴケ,ムニンクラマゴケ,Selaginella boninensis Baker,3,イワヒバ科,Selaginellaceae,,
26,,オニクラマゴケ,"ミドリカタヒバ, コウヅシマクラマゴケ, 'コウズシマクラマゴケ'",Selaginella doederleinii Hieron.,3,イワヒバ科,Selaginellaceae,,
27,,ツルカタヒバ,"ミタニクラマゴケ, コクラマゴケ",Selaginella flagellifera W.Bull,3,イワヒバ科,Selaginellaceae,,NT
28,,エゾノヒメクラマゴケ,,Selaginella helvetica (L.) Spring,3,イワヒバ科,Selaginellaceae,,
29,,ヒメクラマゴケ,ヒメタチクラマゴケ,Selaginella heterostachys Baker,3,イワヒバ科,Selaginellaceae,,
30,,カタヒバ,,Selaginella involvens (Sw.) Spring,3,イワヒバ科,Selaginellaceae,,
31,,アマミクラマゴケ,,Selaginella limbata Alston,3,イワヒバ科,Selaginellaceae,,VU
32,,ヒメムカデクラマゴケ,,Selaginella lutchuensis Koidz.,3,イワヒバ科,Selaginellaceae,,
33,,イヌカタヒバ,,Selaginella moellendorffii Hieron.,3,イワヒバ科,Selaginellaceae,,VU
34,,タチクラマゴケ,,Selaginella nipponica Franch. et Sav.,3,イワヒバ科,Selaginellaceae,,
35,,クラマゴケ,キールンクラマゴケ,Selaginella remotifolia Spring,3,イワヒバ科,Selaginellaceae,,
36,,コケスギラン,,Selaginella selaginoides (L.) P.Beauv. ex Schrank et C.F.P.Mart.,3,イワヒバ科,Selaginellaceae,,
37,,ヒモカズラ,,Selaginella shakotanensis (Franch. ex Takeda) Miyabe et Kud?,3,イワヒバ科,Selaginellaceae,,
38,,エゾノヒモカズラ,,Selaginella sibirica (Milde) Hieron.,3,イワヒバ科,Selaginellaceae,,VU
39,,ヤマクラマゴケ,,Selaginella tamamontana Seriz.,3,イワヒバ科,Selaginellaceae,,
40,,イワヒバ,,Selaginella tamariscina (P.Beauv.) Spring,3,イワヒバ科,Selaginellaceae,,
78,,スギナ,"ミモチスギナ, オクエゾスギナ",Equisetum arvense L.,4,トクサ科,Equisetaceae,,
79,,ミズドクサ,ミズスギナ[同名注意],Equisetum fluviatile L.,4,トクサ科,Equisetaceae,,
80,,トクサ,"エダウチトクサ, ハマドクサ, ハマトクサ, フイリトクサ",Equisetum hyemale L.  subsp. hyemale,4,トクサ科,Equisetaceae,,
81,,イヌスギナ,,Equisetum palustre L.,4,トクサ科,Equisetaceae,,
82,,ヤチスギナ,,Equisetum pratense Ehrh.,4,トクサ科,Equisetaceae,,VU
83,,イヌドクサ,"カワラドクサ, タカトクサ",Equisetum ramosissimum Desf.  subsp. ramosissimum,4,トクサ科,Equisetaceae,,
84,,ヒメドクサ,,Equisetum scirpoides Michx.,4,トクサ科,Equisetaceae,,VU
85,,フサスギナ,,Equisetum sylvaticum L.,4,トクサ科,Equisetaceae,,VU
86,,チシマヒメドクサ,,Equisetum variegatum Schleich. ex F.Weber et D.Mohr,4,トクサ科,Equisetaceae,,CR
87,h,ハマスギナ,,Equisetum x litorale K?hlew. ex Rupr.,4,トクサ科,Equisetaceae,,
88,h,テドリトクサ,'テトリトクサ',Equisetum x moorei Newm.,4,トクサ科,Equisetaceae,,
89,h,フォーリースギナ,,Equisetum x rothmaleri C.N.Page,4,トクサ科,Equisetaceae,,
77,,マツバラン,,Psilotum nudum (L.) P.Beauv.,5,マツバラン科,Psilotaceae,,NT
47,,シチトウハナワラビ,"ナンキハナワラビ, モトマチハナワラビ",Botrychium atrovirens (Sahashi) M.Kato,6,ハナヤスリ科,Ophioglossaceae,,
48,,タカネハナワラビ,,Botrychium boreale Milde,6,ハナヤスリ科,Ophioglossaceae,,EX
49,,ホウライハナワラビ,,Botrychium formosanum Tagawa,6,ハナヤスリ科,Ophioglossaceae,,NT
50,,オオハナワラビ,,Botrychium japonicum (Prantl) Underw.,6,ハナヤスリ科,Ophioglossaceae,,
51,,ミヤマハナワラビ,ホソバミヤマハナワラビ,Botrychium lanceolatum (S.G.Gmel.) ?ngstr.,6,ハナヤスリ科,Ophioglossaceae,,CR
52,,ヒメハナワラビ,ヘビノシタ,Botrychium lunaria (L.) Sw.,6,ハナヤスリ科,Ophioglossaceae,,VU
53,,イブリハナワラビ,,Botrychium microphyllum (Sahashi) K.Iwats.,6,ハナヤスリ科,Ophioglossaceae,固有,CR
