ID20141020,雑種・品種2,GreenList和名,GreenList和名別名,GreenList学名,科番号,新エングラー科和名,新エングラー科学名,自生,固有,APG科名,APG科和名
1,,ソテツ,,Cycas revoluta Thunb.,1,ソテツ科,CYCADACEAE,自生,固有,CYCADACEAE,ソテツ科
2,,モミ,,Abies firma Siebold et Zucc.,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
3,,ウラジロモミ,,Abies homolepis Siebold et Zucc.,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
4,,オオシラビソ,アオモリトドマツ,Abies mariesii Mast.,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
5,,アオトドマツ,,Abies sachalinensis (F.Schmidt) Mast. var. mayriana Miyabe et Kud? ,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
6,,トドマツ,アカトドマツ,Abies sachalinensis (F.Schmidt) Mast. var. sachalinensis,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
7,h,ミツミネモミ,,Abies x umbellata Mayr,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
8,,シコクシラベ,,Abies veitchii Lindl. var. reflexa Koidz.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
9,,シラビソ,シラベ,Abies veitchii Lindl.,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
10,f,アオシラベ,,Abies veitchii Lindl. f. olivacea (Shiras.) Kusaka,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
11,,コマガタケシラベ,,Abies veitchii Lindl. var. komagatakensis Hayashi,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
12,,グイマツ,シコタンマツ ,Larix gmelinii (Rupr.) Rupr. ex Kuzen. var. japonica (Maxim. ex Regel) Pilg.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
13,,カラマツ,,Larix kaempferi (Lamb.) Carri?re,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
14,f,シダレカラマツ,,Larix kaempferi (Lamb.) Carri?re f. pendula (Sugim.) Yonek.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
15,f,アカミカラマツ,,Larix kaempferi (Lamb.) Carri?re f. rubescens (Inokuma) T.Shimizu,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
16,,イラモミ,マツハダ,Picea alcoquiana (Veitch ex Lindl.) Carri?re,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
17,f,ミドリイラモミ,,Picea alcoquiana (Veitch ex Lindl.) Carri?re f. chlorocarpa (Hayashi) Yonek.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
18,,アカエゾマツ,,Picea glehnii (F.Schmidt) Mast.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
19,f,アオミノアカエゾマツ,,Picea glehnii (F.Schmidt) Mast. f. chlorocarpa Miyabe et Kud? ,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
20,,トウヒ,,Picea jezoensis (Siebold et Zucc.) Carri?re var. hondoensis (Mayr) Rehder,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
21,f,オゼトウヒ,,Picea jezoensis (Siebold et Zucc.) Carri?re var. hondoensis (Mayr) Rehder f. ozeensis Hayashi,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
22,,エゾマツ,,Picea jezoensis (Siebold et Zucc.) Carri?re,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
23,f,シロエゾマツ,,Picea jezoensis (Siebold et Zucc.) Carri?re f. takadae (Tatew.) Hayashi,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
24,,ヤツガタケトウヒ,ヒメマツハダ,Picea koyamae Shiras.,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
25,,ヒメバラモミ,,Picea maximowiczii Regel ex Carri?re,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
26,,"ハリモミ, バラモミ",,Picea torano (Siebold ex K.Koch) Koehne,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
27,f,ベニバナハリモミ,,Picea torano (Siebold ex K.Koch) Koehne f. rubriflora (Yoshio Kobay.) Yonek.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
28,,ヤクタネゴヨウ,アマミゴヨウ,Pinus amamiana Koidz.,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
29,,アカマツ,,Pinus densiflora Siebold et Zucc.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
30,h,ハッコウダゴヨウ,,Pinus x hakkodensis Makino,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
31,,チョウセンゴヨウ,チョウセンマツ,Pinus koraiensis Siebold et Zucc.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
32,,リュウキュウマツ,,Pinus luchuensis Mayr,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
33,,キタゴヨウ,,Pinus parviflora Siebold et Zucc. var. pentaphylla (Mayr) A.Henry,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
34,,ヒメコマツ,ゴヨウマツ,Pinus parviflora Siebold et Zucc. var. parviflora,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
35,f,トドハダゴヨウ,,Pinus parviflora Siebold et Zucc. var. pentaphylla (Mayr) A.Henry f. laevis (H.Hara) Sugim.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
36,,ハイマツ,,Pinus pumila (Pall.) Regel,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
37,,クロマツ,,Pinus thunbergii Parl.,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
38,,トガサワラ,,Pseudotsuga japonica (Shiras.) Beissner,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
39,,コメツガ,,Tsuga diversifolia (Maxim.) Mast.,7,マツ科,PINACEAE,自生,固有,PINACEAE,マツ科
40,,ツガ,,Tsuga sieboldii Carri?re,7,マツ科,PINACEAE,自生,,PINACEAE,マツ科
