ID20160331,雑種・品種,新リスト和名,和名異名,GreenList学名,PPG科番号,PPG科和名,PPG科名,固有,RL2012
1.0,,ヒメスギラン,,Huperzia miyoshiana (Makino) Ching,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
2.0,,コスギラン,"エゾノコスギラン, チシマスギラン",Huperzia selago (L.) Bernh. ex Schrank et C.F.P.Mart.,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
3.0,,トウゲシバ,"ホソバトウゲシバ, ヒロハトウゲシバ, オニトウゲシバ",Huperzia serrata (Thunb.) Trevis.,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
4.0,,コスギトウゲシバ,,Huperzia somae (Hayata) Ching,1.0,ヒカゲノカズラ科,Lycopodiaceae,,CR
5.0,,イヌヤチスギラン,,Lycopodiella caroliniana (L.) Pic.Serm.,1.0,ヒカゲノカズラ科,Lycopodiaceae,,CR
6.0,,ミズスギ,,Lycopodiella cernua (L.) Pic.Serm.,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
7.0,,ヤチスギラン,,Lycopodiella inundata (L.) Holub,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
8.0,,チシマヒカゲノカズラ,ミヤマヒカゲノカズラ,Lycopodium alpinum L.,1.0,ヒカゲノカズラ科,Lycopodiaceae,,EN
9.0,,スギカズラ,"シンノスギカズラ, タカネスギカズラ, ヒロハスギカズラ",Lycopodium annotinum L.,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
10.0,,ヒモヅル,,Lycopodium casuarinoides Spring,1.0,ヒカゲノカズラ科,Lycopodiaceae,,VU
11.0,,エゾヒカゲノカズラ,,Lycopodium clavatum L.  var. asiaticum Ching,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
12.0,,ヒカゲノカズラ,ナンゴクヒカゲノカズラ,Lycopodium clavatum L.  var. nipponicum Nakai,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
13.0,,アスヒカズラ,,Lycopodium complanatum L.,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
14.0,,タカネヒカゲノカズラ,,Lycopodium nikoense (Franch. et Sav.) Franch. et Sav. ex Nakaike,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
15.0,,マンネンスギ,"ウチワマンネンスギ, タチマンネンスギ",Lycopodium obscurum L.,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
16.0,,ボウカズラ,,Phlegmariurus carinatus (Desv. ex Poir.) Ching,1.0,ヒカゲノカズラ科,Lycopodiaceae,,CR
17.0,,スギラン,,Phlegmariurus cryptomerinus (Maxim.) Satou,1.0,ヒカゲノカズラ科,Lycopodiaceae,,VU
18.0,,コウヨウザンカズラ,,Phlegmariurus cunninghamioides (Hayata) Ching,1.0,ヒカゲノカズラ科,Lycopodiaceae,,EX
19.0,,ヒモスギラン,ホソヒモヨウラクヒバ,Phlegmariurus fargesii (Herter) Ching,1.0,ヒカゲノカズラ科,Lycopodiaceae,,CR
20.0,,ナンカクラン,,Phlegmariurus hamiltonii (Spreng.) A. et D.Löve,1.0,ヒカゲノカズラ科,Lycopodiaceae,,
21.0,,ヨウラクヒバ,,Phlegmariurus phlegmaria (L.) T.Sen et U.Sen,1.0,ヒカゲノカズラ科,Lycopodiaceae,,EN
22.0,,ヒメヨウラクヒバ,,Phlegmariurus salvinioides (Herter) Ching,1.0,ヒカゲノカズラ科,Lycopodiaceae,,CR
23.0,,ヒモラン,イワヒモ,Phlegmariurus sieboldii (Miq.) Ching,1.0,ヒカゲノカズラ科,Lycopodiaceae,,EN
41.0,,ヒメミズニラ,,Isoetes asiatica (Makino) Makino,2.0,ミズニラ科,Isoetaceae,,NT
42.0,,ミズニラ,,Isoetes japonica A.Braun,2.0,ミズニラ科,Isoetaceae,,NT
43.0,,ミズニラモドキ,,"Isoetes pseudojaponica M.Takamiya, Mitsu.Watan. et K.Ono",2.0,ミズニラ科,Isoetaceae,固有,VU
44.0,,オオバシナミズニラ,,"Isoetes sinensis T.C.Palmer  var. coreana (Y.H.Chung et H.K.Choi) M.Takamiya, Mitsu.Watan. et K.Ono",2.0,ミズニラ科,Isoetaceae,,EN
45.0,,シナミズニラ,,Isoetes sinensis T.C.Palmer  var. sinensis,2.0,ミズニラ科,Isoetaceae,,VU
46.0,h,ミチノクミズニラ,,"Isoetes x michinokuana M.Takamiya, Mitsu.Watan. et K.Ono",2.0,ミズニラ科,Isoetaceae,固有,
24.0,,コケカタヒバ,,Selaginella aristata Spring,3.0,イワヒバ科,Selaginellaceae,,VU
25.0,,ヒバゴケ,ムニンクラマゴケ,Selaginella boninensis Baker,3.0,イワヒバ科,Selaginellaceae,,
26.0,,オニクラマゴケ,"ミドリカタヒバ, コウヅシマクラマゴケ, 'コウズシマクラマゴケ'",Selaginella doederleinii Hieron.,3.0,イワヒバ科,Selaginellaceae,,
27.0,,ツルカタヒバ,"ミタニクラマゴケ, コクラマゴケ",Selaginella flagellifera W.Bull,3.0,イワヒバ科,Selaginellaceae,,NT
28.0,,エゾノヒメクラマゴケ,,Selaginella helvetica (L.) Spring,3.0,イワヒバ科,Selaginellaceae,,
29.0,,ヒメクラマゴケ,ヒメタチクラマゴケ,Selaginella heterostachys Baker,3.0,イワヒバ科,Selaginellaceae,,
30.0,,カタヒバ,,Selaginella involvens (Sw.) Spring,3.0,イワヒバ科,Selaginellaceae,,
31.0,,アマミクラマゴケ,,Selaginella limbata Alston,3.0,イワヒバ科,Selaginellaceae,,VU
32.0,,ヒメムカデクラマゴケ,,Selaginella lutchuensis Koidz.,3.0,イワヒバ科,Selaginellaceae,,
33.0,,イヌカタヒバ,,Selaginella moellendorffii Hieron.,3.0,イワヒバ科,Selaginellaceae,,VU
