ID20160207,雑種・品種,新リスト和名,和名異名,GreenList学名,APG科番号,APG科和名,APG科名,固有,新エングラー科和名
1039.0,,ジュンサイ,,Brasenia schreberi J.F.Gmel.,3.0,ジュンサイ科,Cabombaceae,,スイレン科
1040.0,,オニバス,,Euryale ferox Salisb.,4.0,スイレン科,Nymphaeaceae,,スイレン科
1041.0,,コウホネ,,Nuphar japonica DC.,4.0,スイレン科,Nymphaeaceae,,スイレン科
1042.0,f,ベニコウホネ,,Nuphar japonica DC. f. rubrotincta (Casp.) Kitam.,4.0,スイレン科,Nymphaeaceae,,スイレン科
1043.0,,ベニオグラコウホネ,,Nuphar oguraensis Miki var. akiensis Shimoda,4.0,スイレン科,Nymphaeaceae,,スイレン科
1044.0,,オグラコウホネ,,Nuphar oguraensis Miki var. oguraensis,4.0,スイレン科,Nymphaeaceae,,スイレン科
1045.0,,オゼコウホネ,,Nuphar pumila (Timm) DC. var. ozeensis H.Hara,4.0,スイレン科,Nymphaeaceae,固有,スイレン科
1046.0,f,ウリュウコウホネ,,"Nuphar pumila (Timm) DC. var. ozeensis H.Hara f. rubro-ovaria Koji Ito ex Hideki Takah., M.Yamazaki et J.Sasaki",4.0,スイレン科,Nymphaeaceae,,スイレン科
1047.0,,ネムロコウホネ,エゾコウホネ，マンシュウコウホネ,Nuphar pumila (Timm) DC. var. pumila,4.0,スイレン科,Nymphaeaceae,,スイレン科
1048.0,h,サイコクヒメコウホネ,,Nuphar saikokuensis Shiga et Kadono,4.0,スイレン科,Nymphaeaceae,,スイレン科
1049.0,,ヒメコウホネ,,Nuphar subintegerrima (Casp.) Makino,4.0,スイレン科,Nymphaeaceae,,スイレン科
1050.0,,シモツケコウホネ,,Nuphar submersa Shiga et Kadono,4.0,スイレン科,Nymphaeaceae,固有,スイレン科
1051.0,h,ナガレコウホネ,,Nuphar x fluminalis Shiga et Kadono,4.0,スイレン科,Nymphaeaceae,,スイレン科
1052.0,h,ホッカイコウホネ,,Nuphar x hokkaiensis Shiga et Kadono,4.0,スイレン科,Nymphaeaceae,,スイレン科
1053.0,,サイジョウコウホネ,,Nuphar x saijoensis (Shimoda) Padgett et Shimoda,4.0,スイレン科,Nymphaeaceae,,スイレン科
1054.0,,ヒツジグサ,エゾノヒツジグサ，エゾヒツジグサ,Nymphaea tetragona Georgi,4.0,スイレン科,Nymphaeaceae,,スイレン科
643.0,f,ウスベニシキミ,,Illicium anisatum L. f. roseum (Makino) Okuyama,7.0,マツブサ科,Schisandraceae,,シキミ科
644.0,,シキミ,,Illicium anisatum L. var. anisatum,7.0,マツブサ科,Schisandraceae,,シキミ科
645.0,,オキナワシキミ,,Illicium anisatum L. var. masa-ogatae (Makino) Honda,7.0,マツブサ科,Schisandraceae,固有,シキミ科
646.0,,ヤエヤマシキミ,,Illicium tashiroi Maxim.,7.0,マツブサ科,Schisandraceae,,シキミ科
639.0,,サネカズラ,ビナンカズラ,Kadsura japonica (L.) Dunal,7.0,マツブサ科,Schisandraceae,,マツブサ科
640.0,,チョウセンゴミシ,,Schisandra chinensis (Turcz.) Baill.,7.0,マツブサ科,Schisandraceae,,マツブサ科
641.0,,マツブサ,,Schisandra repanda (Siebold et Zucc.) Radlk.,7.0,マツブサ科,Schisandraceae,,マツブサ科
642.0,f,ウラジロマツブサ,,Schisandra repanda (Siebold et Zucc.) Radlk. f. discolor (Nakai) Yonek.,7.0,マツブサ科,Schisandraceae,,マツブサ科
1065.0,,キビヒトリシズカ,チョウセンヒトリシズカ,Chloranthus fortunei (A. Gray) Solms,8.0,センリョウ科,Chloranthaceae,,センリョウ科
1066.0,,ヒトリシズカ,,Chloranthus quadrifolius (A.Gray) H.Ohba et S.Akiyama,8.0,センリョウ科,Chloranthaceae,,センリョウ科
1067.0,,フタリシズカ,,Chloranthus serratus (Thunb.) Roem. et Schult.,8.0,センリョウ科,Chloranthaceae,,センリョウ科
1068.0,,センリョウ,,Sarcandra glabra (Thunb.) Nakai,8.0,センリョウ科,Chloranthaceae,,センリョウ科
1069.0,f,キミノセンリョウ,,Sarcandra glabra (Thunb.) Nakai f. flava (Makino) Okuyama,8.0,センリョウ科,Chloranthaceae,,センリョウ科
1057.0,,ドクダミ,,Houttuynia cordata Thunb.,11.0,ドクダミ科,Saururaceae,,ドクダミ科
1058.0,f,ミドリドクダミ,,Houttuynia cordata Thunb. f. viridis J.Ohara,11.0,ドクダミ科,Saururaceae,,ドクダミ科
1059.0,,ハンゲショウ,カタシログサ,Saururus chinensis (Lour.) Baill.,11.0,ドクダミ科,Saururaceae,,ドクダミ科
1060.0,,シマゴショウ,,Peperomia boninsimensis Makino,12.0,コショウ科,Piperaceae,固有,コショウ科
1061.0,,サダソウ,スナゴショウ，ビロードゴショウ,Peperomia japonica Makino,12.0,コショウ科,Piperaceae,,コショウ科
1062.0,,オキナワスナゴショウ,ケナシサダソウ,Peperomia okinawensis T.Yamaz.,12.0,コショウ科,Piperaceae,固有,コショウ科
1063.0,,フウトウカズラ,オオバフウトウカズラ,Piper kadsura (Choisy) Ohwi,12.0,コショウ科,Piperaceae,,コショウ科
1064.0,,タイヨウフウトウカズラ,,Piper postelsianum Maxim.,12.0,コショウ科,Piperaceae,固有,コショウ科
1070.0,,マルバウマノスズクサ,コウマノスズクサ,Aristolochia contorta Bunge,15.0,ウマノスズクサ科,Aristolochiaceae,,ウマノスズクサ科
